"date","count","package","version"
2019-04-24,56,"ggdemetra","ggdemetra_0.1.0"
2019-04-25,11,"ggdemetra","ggdemetra_0.1.0"
2019-04-26,13,"ggdemetra","ggdemetra_0.1.0"
2019-04-27,9,"ggdemetra","ggdemetra_0.1.0"
2019-04-28,7,"ggdemetra","ggdemetra_0.1.0"
2019-04-29,31,"ggdemetra","ggdemetra_0.1.0"
2019-04-30,19,"ggdemetra","ggdemetra_0.1.0"
2019-05-01,10,"ggdemetra","ggdemetra_0.1.0"
2019-05-02,15,"ggdemetra","ggdemetra_0.1.0"
2019-05-03,8,"ggdemetra","ggdemetra_0.1.0"
2019-05-04,2,"ggdemetra","ggdemetra_0.1.0"
2019-05-05,10,"ggdemetra","ggdemetra_0.1.0"
2019-05-06,26,"ggdemetra","ggdemetra_0.1.0"
2019-05-07,15,"ggdemetra","ggdemetra_0.1.0"
2019-05-08,17,"ggdemetra","ggdemetra_0.1.0"
2019-05-09,12,"ggdemetra","ggdemetra_0.1.0"
2019-05-10,9,"ggdemetra","ggdemetra_0.1.0"
2019-05-11,3,"ggdemetra","ggdemetra_0.1.0"
2019-05-12,19,"ggdemetra","ggdemetra_0.1.0"
2019-05-13,21,"ggdemetra","ggdemetra_0.1.0"
2019-05-14,12,"ggdemetra","ggdemetra_0.1.0"
2019-05-15,50,"ggdemetra","ggdemetra_0.1.0"
2019-05-16,32,"ggdemetra","ggdemetra_0.1.0"
2019-05-17,18,"ggdemetra","ggdemetra_0.1.0"
2019-05-18,19,"ggdemetra","ggdemetra_0.1.0"
2019-05-19,18,"ggdemetra","ggdemetra_0.1.0"
2019-05-20,14,"ggdemetra","ggdemetra_0.1.0"
2019-05-21,10,"ggdemetra","ggdemetra_0.1.0"
2019-05-22,10,"ggdemetra","ggdemetra_0.1.0"
2019-05-23,11,"ggdemetra","ggdemetra_0.1.0"
2019-05-24,11,"ggdemetra","ggdemetra_0.1.0"
2019-05-25,4,"ggdemetra","ggdemetra_0.1.0"
2019-05-26,12,"ggdemetra","ggdemetra_0.1.0"
2019-05-27,11,"ggdemetra","ggdemetra_0.1.0"
2019-05-28,9,"ggdemetra","ggdemetra_0.1.0"
2019-05-29,11,"ggdemetra","ggdemetra_0.1.0"
2019-05-30,8,"ggdemetra","ggdemetra_0.1.0"
2019-05-31,9,"ggdemetra","ggdemetra_0.1.0"
2019-06-01,8,"ggdemetra","ggdemetra_0.1.0"
2019-06-02,5,"ggdemetra","ggdemetra_0.1.0"
2019-06-03,3,"ggdemetra","ggdemetra_0.1.0"
2019-06-04,12,"ggdemetra","ggdemetra_0.1.0"
2019-06-05,14,"ggdemetra","ggdemetra_0.1.0"
2019-06-06,10,"ggdemetra","ggdemetra_0.1.0"
2019-06-07,8,"ggdemetra","ggdemetra_0.1.0"
2019-06-08,5,"ggdemetra","ggdemetra_0.1.0"
2019-06-09,3,"ggdemetra","ggdemetra_0.1.0"
2019-06-10,3,"ggdemetra","ggdemetra_0.1.0"
2019-06-11,5,"ggdemetra","ggdemetra_0.1.0"
2019-06-12,3,"ggdemetra","ggdemetra_0.1.0"
2019-06-13,14,"ggdemetra","ggdemetra_0.1.0"
2019-06-14,5,"ggdemetra","ggdemetra_0.1.0"
2019-06-15,3,"ggdemetra","ggdemetra_0.1.0"
2019-06-16,7,"ggdemetra","ggdemetra_0.1.0"
2019-06-17,13,"ggdemetra","ggdemetra_0.1.0"
2019-06-18,10,"ggdemetra","ggdemetra_0.1.0"
2019-06-19,186,"ggdemetra","ggdemetra_0.2.0"
2019-06-20,60,"ggdemetra","ggdemetra_0.2.0"
2019-06-21,17,"ggdemetra","ggdemetra_0.2.0"
2019-06-22,7,"ggdemetra","ggdemetra_0.2.0"
2019-06-23,4,"ggdemetra","ggdemetra_0.2.0"
2019-06-24,14,"ggdemetra","ggdemetra_0.2.0"
2019-06-25,20,"ggdemetra","ggdemetra_0.2.0"
2019-06-26,10,"ggdemetra","ggdemetra_0.2.0"
2019-06-27,11,"ggdemetra","ggdemetra_0.2.0"
2019-06-28,14,"ggdemetra","ggdemetra_0.2.0"
2019-06-29,7,"ggdemetra","ggdemetra_0.2.0"
2019-06-30,6,"ggdemetra","ggdemetra_0.2.0"
2019-07-01,16,"ggdemetra","ggdemetra_0.2.0"
2019-07-02,11,"ggdemetra","ggdemetra_0.2.0"
2019-07-03,15,"ggdemetra","ggdemetra_0.2.0"
2019-07-04,9,"ggdemetra","ggdemetra_0.2.0"
2019-07-05,16,"ggdemetra","ggdemetra_0.2.0"
2019-07-06,13,"ggdemetra","ggdemetra_0.2.0"
2019-07-07,8,"ggdemetra","ggdemetra_0.2.0"
2019-07-08,12,"ggdemetra","ggdemetra_0.2.0"
2019-07-09,50,"ggdemetra","ggdemetra_0.2.0"
2019-07-10,12,"ggdemetra","ggdemetra_0.2.0"
2019-07-11,20,"ggdemetra","ggdemetra_0.2.0"
2019-07-12,23,"ggdemetra","ggdemetra_0.2.0"
2019-07-13,13,"ggdemetra","ggdemetra_0.2.0"
2019-07-14,8,"ggdemetra","ggdemetra_0.2.0"
2019-07-15,8,"ggdemetra","ggdemetra_0.2.0"
2019-07-16,15,"ggdemetra","ggdemetra_0.2.0"
2019-07-17,13,"ggdemetra","ggdemetra_0.2.0"
2019-07-18,33,"ggdemetra","ggdemetra_0.2.0"
2019-07-19,13,"ggdemetra","ggdemetra_0.2.0"
2019-07-20,13,"ggdemetra","ggdemetra_0.2.0"
2019-07-21,17,"ggdemetra","ggdemetra_0.2.0"
2019-07-22,26,"ggdemetra","ggdemetra_0.2.0"
2019-07-23,16,"ggdemetra","ggdemetra_0.2.0"
2019-07-24,10,"ggdemetra","ggdemetra_0.2.0"
2019-07-25,18,"ggdemetra","ggdemetra_0.2.0"
2019-07-26,10,"ggdemetra","ggdemetra_0.2.0"
2019-07-27,12,"ggdemetra","ggdemetra_0.2.0"
2019-07-28,2,"ggdemetra","ggdemetra_0.2.0"
2019-07-29,9,"ggdemetra","ggdemetra_0.2.0"
2019-07-30,16,"ggdemetra","ggdemetra_0.2.0"
2019-07-31,16,"ggdemetra","ggdemetra_0.2.0"
2019-08-01,2,"ggdemetra","ggdemetra_0.2.0"
2019-08-02,12,"ggdemetra","ggdemetra_0.2.0"
2019-08-03,5,"ggdemetra","ggdemetra_0.2.0"
2019-08-04,3,"ggdemetra","ggdemetra_0.2.0"
2019-08-05,11,"ggdemetra","ggdemetra_0.2.0"
2019-08-06,11,"ggdemetra","ggdemetra_0.2.0"
2019-08-07,24,"ggdemetra","ggdemetra_0.2.0"
2019-08-08,7,"ggdemetra","ggdemetra_0.2.0"
2019-08-09,16,"ggdemetra","ggdemetra_0.2.0"
2019-08-10,7,"ggdemetra","ggdemetra_0.2.0"
2019-08-11,9,"ggdemetra","ggdemetra_0.2.0"
2019-08-12,9,"ggdemetra","ggdemetra_0.2.0"
2019-08-13,7,"ggdemetra","ggdemetra_0.2.0"
2019-08-14,11,"ggdemetra","ggdemetra_0.2.0"
2019-08-15,11,"ggdemetra","ggdemetra_0.2.0"
2019-08-16,11,"ggdemetra","ggdemetra_0.2.0"
2019-08-17,12,"ggdemetra","ggdemetra_0.2.0"
2019-08-18,6,"ggdemetra","ggdemetra_0.2.0"
2019-08-19,6,"ggdemetra","ggdemetra_0.2.0"
2019-08-20,5,"ggdemetra","ggdemetra_0.2.0"
2019-08-21,9,"ggdemetra","ggdemetra_0.2.0"
2019-08-22,12,"ggdemetra","ggdemetra_0.2.0"
2019-08-23,11,"ggdemetra","ggdemetra_0.2.0"
2019-08-24,5,"ggdemetra","ggdemetra_0.2.0"
2019-08-25,1,"ggdemetra","ggdemetra_0.2.0"
2019-08-26,11,"ggdemetra","ggdemetra_0.2.0"
2019-08-27,10,"ggdemetra","ggdemetra_0.2.0"
2019-08-28,46,"ggdemetra","ggdemetra_0.2.0"
2019-08-29,6,"ggdemetra","ggdemetra_0.2.0"
2019-08-30,12,"ggdemetra","ggdemetra_0.2.0"
2019-08-31,8,"ggdemetra","ggdemetra_0.2.0"
2019-09-01,8,"ggdemetra","ggdemetra_0.2.0"
2019-09-02,7,"ggdemetra","ggdemetra_0.2.0"
2019-09-03,22,"ggdemetra","ggdemetra_0.2.0"
